,Voltage (V),Current (A),Current Std (A)
0,0.0,1.861088e-10,8.80539e-10
1,-0.2222222222222222,3.360089e-10,8.257337e-10
2,-0.4444444444444444,3.692733e-10,8.156448e-10
3,-0.6666666666666666,2.016853e-10,9.390227e-10
4,-0.8888888888888888,3.246468e-10,7.656424e-10
5,-1.1111111111111112,1.482165e-10,8.593717e-10
6,-1.3333333333333333,1.216936e-10,7.882946e-10
7,-1.5555555555555554,2.539023e-10,9.200161e-10
8,-1.7777777777777777,2.631575e-10,9.618375e-10
9,-2.0,3.317982e-10,8.65501e-10
